"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 26 16:32:42 UTC 2026","Sun Apr 26 16:32:42 UTC 2026","107","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldVerifyUserExistsByUsernameAfterCreation","Should verify user exists by username after creation",""
"passed","Sun Apr 26 16:32:42 UTC 2026","Sun Apr 26 16:32:42 UTC 2026","186","","User Database Tests","","guru.qa.test.db.UserDbTest","shouldGetAllUsersFromDatabase","Should get all users from database and contain test user",""
"passed","Sun Apr 26 16:33:47 UTC 2026","Sun Apr 26 16:33:59 UTC 2026","11860","","Web Login Tests","","guru.qa.test.web.LoginWebTest","userShouldLoginWithValidCredentials","Should login with valid credentials",""
"passed","Sun Apr 26 16:33:51 UTC 2026","Sun Apr 26 16:34:00 UTC 2026","9046","","Web Museum Tests","","guru.qa.test.web.MuseumWebTest","userShouldSeeErrorWhenCreatingMuseumWithoutImage","Should show error when creating museum without image",""
"passed","Sun Apr 26 16:32:34 UTC 2026","Sun Apr 26 16:32:38 UTC 2026","3906","","Painting Database Tests","","guru.qa.test.db.PaintingDbTest","shouldDeletePaintingFromDatabase","Should delete painting from database",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","80","","Artist Database Tests","","guru.qa.test.db.ArtistDbTest","shouldCreateAndSaveArtistToDatabase","Should create and save artist to database",""
"passed","Sun Apr 26 16:33:01 UTC 2026","Sun Apr 26 16:33:06 UTC 2026","5531","","Painting Integration Tests","","guru.qa.test.integration.PaintingIntegrationTest","shouldCheckPaintingExists","Should check if painting exists by id",""
"passed","Sun Apr 26 16:33:59 UTC 2026","Sun Apr 26 16:34:03 UTC 2026","3763","","Web Login Tests","","guru.qa.test.web.LoginWebTest","userShouldSeeErrorWithInvalidCredentials","Should see error with invalid credentials",""
"skipped","Sun Apr 26 16:32:45 UTC 2026","Sun Apr 26 16:32:45 UTC 2026","1","","Auth Integration Tests","","guru.qa.test.integration.AuthIntegrationTest","shouldLoginAndGetToken","Should login and get token for existing user",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","92","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldThrowExceptionForNonExistentCountry","Should throw exception for non-existent country",""
"passed","Sun Apr 26 16:32:39 UTC 2026","Sun Apr 26 16:32:39 UTC 2026","117","","Painting Database Tests","","guru.qa.test.db.PaintingDbTest","shouldGetAllPaintingsFromDatabase","Should get all paintings from database",""
"passed","Sun Apr 26 16:33:48 UTC 2026","Sun Apr 26 16:33:55 UTC 2026","6477","","Web Artist Tests","","guru.qa.test.web.ArtistWebTest","userShouldNotFindNonExistentArtist","Should not find non-existent artist",""
"passed","Sun Apr 26 16:33:14 UTC 2026","Sun Apr 26 16:33:15 UTC 2026","1332","","Museum Integration Tests","","guru.qa.test.integration.MuseumIntegrationTest","shouldCreateMuseum","Should create museum via API",""
"passed","Sun Apr 26 16:33:15 UTC 2026","Sun Apr 26 16:33:16 UTC 2026","1293","","User Integration Tests","","guru.qa.test.integration.UserIntegrationTest","shouldUpdateUser","Should update user via API",""
"passed","Sun Apr 26 16:32:17 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","74","","Geo Database Tests","","guru.qa.test.db.GeoDbTest","shouldReadCountryFromDatabase","Should read country from database",""
"passed","Sun Apr 26 16:32:39 UTC 2026","Sun Apr 26 16:32:39 UTC 2026","102","","Painting Database Tests","","guru.qa.test.db.PaintingDbTest","shouldThrowExceptionForNonExistentPainting","Should throw exception for non-existent painting",""
"passed","Sun Apr 26 16:34:37 UTC 2026","Sun Apr 26 16:34:41 UTC 2026","4700","","Web Painting Tests","","guru.qa.test.web.PaintingWebTest","userShouldSearchPaintingByTitle","Should search painting by title",""
"passed","Sun Apr 26 16:33:01 UTC 2026","Sun Apr 26 16:33:13 UTC 2026","12298","","Museum Integration Tests","","guru.qa.test.integration.MuseumIntegrationTest","shouldGetMuseumById","Should get museum by id via API",""
"passed","Sun Apr 26 16:32:39 UTC 2026","Sun Apr 26 16:32:39 UTC 2026","232","","Painting Database Tests","","guru.qa.test.db.PaintingDbTest","shouldUpdatePaintingInDatabase","Should update painting in database",""
"passed","Sun Apr 26 16:32:18 UTC 2026","Sun Apr 26 16:32:18 UTC 2026","202","","Artist Database Tests","","guru.qa.test.db.ArtistDbTest","shouldUpdateArtistInDatabase","Should update artist in database",""
"passed","Sun Apr 26 16:33:03 UTC 2026","Sun Apr 26 16:33:15 UTC 2026","11463","","User Integration Tests","","guru.qa.test.integration.UserIntegrationTest","shouldGetUserById","Should get user by id via API",""
